GENERAL;X SEXO;ATLETA;T. TOTAL;PEDESTRISMO;PROMEDIO PEDESTRISMO;CICLISMO;PROMEDIO CICLISMO;PEDESTRISMO;PROMEDIO PEDESTRISMO;EQUIPO
73;8;LIMA KAREN;01:19:47;00:23:00;4:36 min/km — 13,04 km/h;00:44:30;2:13 min/km — 26,97 km/h;00:12:17;4:55 min/km — 12,21 km/h;EQUIPO KORU
74;66;MESA MICHEL;01:20:33;00:23:39;4:44 min/km — 12,68 km/h;00:42:37;2:08 min/km — 28,16 km/h;00:14:17;5:43 min/km — 10,50 km/h;MB Coaching
75;9;GOMEZ MARIA LAURA;01:21:01;00:24:25;4:53 min/km — 12,29 km/h;00:43:18;2:10 min/km — 27,71 km/h;00:13:18;5:19 min/km — 11,28 km/h;DEPORSUR
76;67;CABRERA HEBER MARTIN;01:21:21;00:23:09;4:38 min/km — 12,96 km/h;00:45:23;2:16 min/km — 26,44 km/h;00:12:49;5:08 min/km — 11,70 km/h;EQUIPO KORU
77;68;ANTUNEZ MIGUEL;01:21:39;00:23:55;4:47 min/km — 12,54 km/h;00:45:52;2:18 min/km — 26,16 km/h;00:11:52;4:45 min/km — 12,64 km/h;MB Coaching
78;10;ROJAS LUCIA;01:21:55;00:24:39;4:56 min/km — 12,17 km/h;00:44:03;2:12 min/km — 27,24 km/h;00:13:13;5:17 min/km — 11,35 km/h;DEPORSUR
79;11;NOGUEIRA CLAUDIA;01:21:55;00:25:23;5:05 min/km — 11,82 km/h;00:43:38;2:11 min/km — 27,50 km/h;00:12:54;5:10 min/km — 11,63 km/h;EQUIPO KORU
80;12;FERNNDEZ ELISA;01:22:48;00:23:41;4:44 min/km — 12,67 km/h;00:46:43;2:20 min/km — 25,69 km/h;00:12:24;4:58 min/km — 12,10 km/h;MB Coaching
81;69;PEREZ JAVIER MARTIN;01:23:10;00:24:38;4:56 min/km — 12,18 km/h;00:46:10;2:18 min/km — 25,99 km/h;00:12:22;4:57 min/km — 12,13 km/h;DEPORSUR
82;13;QUINONEZ MARIANA;01:23:15;00:23:48;4:46 min/km — 12,61 km/h;00:46:42;2:20 min/km — 25,70 km/h;00:12:45;5:06 min/km — 11,76 km/h;EQUIPO KORU
83;70;PEREZ PABLO;01:23:57;00:25:10;5:02 min/km — 11,92 km/h;00:43:00;2:09 min/km — 27,91 km/h;00:15:47;6:19 min/km — 9,50 km/h;MB Coaching
84;14;MACHADO MARIELLA;01:24:05;00:24:36;4:55 min/km — 12,20 km/h;00:46:42;2:20 min/km — 25,70 km/h;00:12:47;5:07 min/km — 11,73 km/h;DEPORSUR
85;15;CHIRIONE GIOVANINA;01:24:50;00:28:23;5:41 min/km — 10,57 km/h;00:41:42;2:05 min/km — 28,78 km/h;00:14:45;5:54 min/km — 10,17 km/h;EQUIPO KORU
86;16;SUREZ LUZ MARIELA;01:25:55;00:24:31;4:54 min/km — 12,24 km/h;00:48:44;2:26 min/km — 24,62 km/h;00:12:40;5:04 min/km — 11,84 km/h;MB Coaching
87;17;SANABRIA MAITE;01:26:59;00:25:38;5:08 min/km — 11,70 km/h;00:47:20;2:22 min/km — 25,35 km/h;00:14:01;5:36 min/km — 10,70 km/h;DEPORSUR
88;18;REGA KARLA;01:27:11;00:25:07;5:01 min/km — 11,94 km/h;00:48:25;2:25 min/km — 24,78 km/h;00:13:39;5:28 min/km — 10,99 km/h;EQUIPO KORU
89;71;GARCIA FERNANDO;01:27:32;00:28:23;5:41 min/km — 10,57 km/h;00:44:15;2:13 min/km — 27,12 km/h;00:14:54;5:58 min/km — 10,07 km/h;MB Coaching
90;19;MARTINEZ MARIA CELIA;01:27:40;00:25:48;5:10 min/km — 11,63 km/h;00:48:12;2:25 min/km — 24,90 km/h;00:13:40;5:28 min/km — 10,98 km/h;DEPORSUR
91;20;ROSANO PIA;01:28:18;00:27:06;5:25 min/km — 11,07 km/h;00:46:09;2:18 min/km — 26,00 km/h;00:15:03;6:01 min/km — 9,97 km/h;EQUIPO KORU
92;21;SOLER ALEJANDRA;01:28:36;00:27:23;5:29 min/km — 10,96 km/h;00:46:33;2:20 min/km — 25,78 km/h;00:14:40;5:52 min/km — 10,23 km/h;MB Coaching
93;72;ARGUELLO LEANDRO;01:28:59;00:27:17;5:27 min/km — 11,00 km/h;00:48:44;2:26 min/km — 24,62 km/h;00:12:58;5:11 min/km — 11,57 km/h;DEPORSUR
94;22;MAKOVIESKY CARINA;01:30:06;00:28:46;5:45 min/km — 10,43 km/h;00:45:12;2:16 min/km — 26,55 km/h;00:16:08;6:27 min/km — 9,30 km/h;EQUIPO KORU
95;23;DELGADO ELISA;01:30:26;00:28:21;5:40 min/km — 10,58 km/h;00:47:14;2:22 min/km — 25,41 km/h;00:14:51;5:56 min/km — 10,10 km/h;MB Coaching
96;73;PERAZA JAVIER;01:31:39;00:25:20;5:04 min/km — 11,84 km/h;00:52:58;2:39 min/km — 22,66 km/h;00:13:21;5:20 min/km — 11,24 km/h;DEPORSUR
97;74;LLULL SEBASTIAN;01:34:46;00:27:41;5:32 min/km — 10,84 km/h;00:51:47;2:35 min/km — 23,17 km/h;00:15:18;6:07 min/km — 9,80 km/h;DEPORSUR
98;75;PIQUEREZ MATIAS;01:42:57;00:28:52;5:46 min/km — 10,39 km/h;00:57:50;2:54 min/km — 20,75 km/h;00:16:15;6:30 min/km — 9,23 km/h;EQUIPO KORU
99;0;0;00:00:00;00:00:00;;00:00:00;;00:00:00;;MB Coaching
100;76;FORESTIER;00:56:06;00:15:40;2:05 min/km — 28,72 km/h;00:32:41;1:05 min/km — 55,07 km/h;00:07:45;1:33 min/km — 38,71 km/h;EQUIPO KORU
